Product ID,Handle,Product Title,Variant ID,Variant Title,SKU,Current Weight,Suggested Weight,Current SEO Title,Suggested SEO Title,Needs Weight Update,Needs SEO Update
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168401120,"Navy / Small","30235","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168433888,"Navy / Medium","30236","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168466656,"Navy / Large","30237","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168696032,"Black / Small","11897","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168728800,"Black / Large","20000","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168761568,"Black / Medium","23340","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249915616,"s14-oto-br-br-41-silver","Bracelet 41 in Silver",47780168794336,"Silver / Small","11960","0 lb","OK","EMPTY","Bracelet 41 in Silver | s14-oto-br-br-41-silver",NO,YES
8988249915616,"s14-oto-br-br-41-silver","Bracelet 41 in Silver",47780168827104,"Silver / Large","11961","0 lb","OK","EMPTY","Bracelet 41 in Silver | s14-oto-br-br-41-silver",NO,YES
8988249948384,"s14-oto-br-br-3-silver","Bracelet 3 in Silver",47780168859872,"Silver / Large","11963","0 lb","OK","EMPTY","Bracelet 3 in Silver | s14-oto-br-br-3-silver",NO,YES
8988249981152,"s14-frm-sh-s-gry-12000-no-color","Paul Shirt in Grey Flannel",47780168892640,"Grey Flannel / Small","12000","0 lb","OK","EMPTY","Paul Shirt in Grey Flannel | s14-frm-sh-s-gry-12000-no-color",NO,YES
8988250013920,"s14-oto-br-b-84-silver","Bracelet 84 in Silver",47780168925408,"Silver / Large","12072","0 lb","OK","EMPTY","Bracelet 84 in Silver | s14-oto-br-b-84-silver",NO,YES
8988250046688,"s14-oto-ri-rng-56-silver","Ring 56 in Silver",47780168958176,"Silver / Small","12075","0 lb","OK","EMPTY","Ring 56 in Silver | s14-oto-ri-rng-56-silver",NO,YES
8988250046688,"s14-oto-ri-rng-56-silver","Ring 56 in Silver",47780168990944,"Silver / Large","12076","0 lb","OK","EMPTY","Ring 56 in Silver | s14-oto-ri-rng-56-silver",NO,YES
8988250079456,"iranta-leather-dress-black","Iranta Leather Dress in Black",47780169023712,"Black / 36","12148","0 lb","OK","EMPTY","Iranta Leather Dress in Black | iranta-leather-dress-black",NO,YES
8988250079456,"iranta-leather-dress-black","Iranta Leather Dress in Black",47780169056480,"Black / 40","12150","0 lb","OK","EMPTY","Iranta Leather Dress in Black | iranta-leather-dress-black",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169154784,"Navy / Small","12172","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169187552,"Navy / Medium","12173","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169220320,"Navy / Large","12174","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250177760,"overprint-tunic-green","Overprint T-Shirt in Green",47780169253088,"Green / Small","12176","0 lb","OK","EMPTY","Overprint T-Shirt in Green | overprint-tunic-green",NO,YES
8988250177760,"overprint-tunic-green","Overprint T-Shirt in Green",47780169285856,"Green / Medium","12177","0 lb","OK","EMPTY","Overprint T-Shirt in Green | overprint-tunic-green",NO,YES
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168401120,"Navy / Small","30235","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168433888,"Navy / Medium","30236","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249817312,"s14-onl-li-4184l-navy","Delicious Camisole",47780168466656,"Navy / Large","30237","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-4184l-navy",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168696032,"Black / Small","11897","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168728800,"Black / Large","20000","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249882848,"s14-onl-li-5656-black","Delicious Camisole",47780168761568,"Black / Medium","23340","0 lb","OK","EMPTY","Delicious Camisole | s14-onl-li-5656-black",NO,YES
8988249915616,"s14-oto-br-br-41-silver","Bracelet 41 in Silver",47780168794336,"Silver / Small","11960","0 lb","OK","EMPTY","Bracelet 41 in Silver | s14-oto-br-br-41-silver",NO,YES
8988249915616,"s14-oto-br-br-41-silver","Bracelet 41 in Silver",47780168827104,"Silver / Large","11961","0 lb","OK","EMPTY","Bracelet 41 in Silver | s14-oto-br-br-41-silver",NO,YES
8988249948384,"s14-oto-br-br-3-silver","Bracelet 3 in Silver",47780168859872,"Silver / Large","11963","0 lb","OK","EMPTY","Bracelet 3 in Silver | s14-oto-br-br-3-silver",NO,YES
8988249981152,"s14-frm-sh-s-gry-12000-no-color","Paul Shirt in Grey Flannel",47780168892640,"Grey Flannel / Small","12000","0 lb","OK","EMPTY","Paul Shirt in Grey Flannel | s14-frm-sh-s-gry-12000-no-color",NO,YES
8988250013920,"s14-oto-br-b-84-silver","Bracelet 84 in Silver",47780168925408,"Silver / Large","12072","0 lb","OK","EMPTY","Bracelet 84 in Silver | s14-oto-br-b-84-silver",NO,YES
8988250046688,"s14-oto-ri-rng-56-silver","Ring 56 in Silver",47780168958176,"Silver / Small","12075","0 lb","OK","EMPTY","Ring 56 in Silver | s14-oto-ri-rng-56-silver",NO,YES
8988250046688,"s14-oto-ri-rng-56-silver","Ring 56 in Silver",47780168990944,"Silver / Large","12076","0 lb","OK","EMPTY","Ring 56 in Silver | s14-oto-ri-rng-56-silver",NO,YES
8988250079456,"iranta-leather-dress-black","Iranta Leather Dress in Black",47780169023712,"Black / 36","12148","0 lb","OK","EMPTY","Iranta Leather Dress in Black | iranta-leather-dress-black",NO,YES
8988250079456,"iranta-leather-dress-black","Iranta Leather Dress in Black",47780169056480,"Black / 40","12150","0 lb","OK","EMPTY","Iranta Leather Dress in Black | iranta-leather-dress-black",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169154784,"Navy / Small","12172","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169187552,"Navy / Medium","12173","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250144992,"overprint-tunic-navy","Overprint T-Shirt in Navy",47780169220320,"Navy / Large","12174","0 lb","OK","EMPTY","Overprint T-Shirt in Navy | overprint-tunic-navy",NO,YES
8988250177760,"overprint-tunic-green","Overprint T-Shirt in Green",47780169253088,"Green / Small","12176","0 lb","OK","EMPTY","Overprint T-Shirt in Green | overprint-tunic-green",NO,YES
8988250177760,"overprint-tunic-green","Overprint T-Shirt in Green",47780169285856,"Green / Medium","12177","0 lb","OK","EMPTY","Overprint T-Shirt in Green | overprint-tunic-green",NO,YES
